ingredient,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G
andor carrot cheese dress lettuce salad tomato vegetable without,Quantity not specified,77.0,149.0,4.2,0.28,6.08,21.0,4.94,146.0,253.0,7.9,0.1
andor carrot cheese dress egg lettuce salad tomato vegetable without,1 cup,79.0,93.0,3.7,0.37,4.36,18.0,4.24,106.0,230.0,7.8,0.3
andor carrot dress egg lettuce salad tomato vegetable without,Quantity not specified,88.0,35.0,3.88,0.48,2.31,17.0,3.4,56.0,221.0,7.7,0.4
bacon dress lettuce wilt,1 cup,125.0,33.0,3.44,0.33,6.31,13.0,2.77,118.0,295.0,10.9,0.1
batido licuado,1 fl oz,27.0,83.0,13.15,0.04,1.45,14.0,2.33,25.0,37.0,10.7,0.7
bar chocolate cream ice light,Quantity not specified,85.0,104.0,19.74,0.58,16.86,18.0,3.31,55.0,53.0,0.7,0.1
bar cream ice light vanilla,1 bar,75.0,110.0,18.76,0.16,16.65,9.0,3.23,64.0,79.0,0.8,0.1
bar chocolate coat cream ice light vanilla,1 miniature,50.0,110.0,19.15,0.3,16.62,14.0,3.39,63.0,78.0,0.8,0.1
chocolate cone cream ice light prepackaged,1 cone,95.0,121.0,34.87,1.11,7.56,25.0,5.32,124.0,58.0,0.8,0.1
cone cream ice light prepackaged vanilla,Quantity not specified,95.0,128.0,34.23,0.8,7.3,21.0,5.41,133.0,86.0,0.8,0.1
chocolate cream ice light sandwich,1 sandwich,75.0,113.0,37.86,1.44,8.4,26.0,4.85,200.0,56.0,0.7,0.1
cream ice light sandwich vanilla,1 sandwich,75.0,119.0,37.26,1.14,8.15,22.0,4.93,209.0,81.0,0.8,0.1
cream ice light,1 medium ice cream cup,240.0,148.0,25.44,0.19,6.14,12.0,4.38,85.0,107.0,1.0,0.1
chocolate cream ice light,1 scoop,120.0,140.0,26.24,0.58,6.46,18.0,4.27,73.0,73.0,1.0,0.1
cream ice light vanilla,1 cup,135.0,148.0,25.44,0.19,6.14,12.0,4.38,85.0,107.0,1.0,0.1
add bean cook corn fat lima,Quantity not specified,90.0,16.0,18.7,1.11,3.04,34.0,4.18,155.0,21.0,7.9,0.0
add bean cook corn fat lima,1 cup,175.0,17.0,19.25,1.14,0.5,35.0,4.3,151.0,10.0,8.1,0.0
bean lima,Quantity not specified,92.0,16.0,19.4,2.23,6.86,40.0,7.25,218.0,0.0,0.0,0.0
bean can lima,1 cup,185.0,30.0,18.62,1.76,2.86,40.0,5.86,373.0,21.0,12.3,0.0
bean dry lima,"1 oz dry, yield after cooking",72.0,16.0,19.4,2.23,6.86,40.0,7.25,218.0,0.0,0.0,0.0
add bean fat freeze lima,1 bean,2.0,29.0,18.71,1.76,2.88,41.0,5.88,188.0,21.0,12.4,0.0
add bean fat freeze lima,1 cup,180.0,30.0,19.26,1.82,0.34,42.0,6.05,185.0,10.0,12.8,0.0
form juice lime n,1 fl oz (no ice),31.0,14.0,8.42,0.09,0.07,8.0,0.42,2.0,2.0,30.0,0.0
bottle can juice lime,Guideline amount per fl oz of beverage,0.9,12.0,6.69,0.23,0.23,7.0,0.25,16.0,1.0,6.4,0.0
freshly juice lime squeeze,1 drop,0.1,14.0,8.42,0.09,0.07,8.0,0.42,2.0,2.0,30.0,0.0
lime souffle,1 cup,120.0,39.0,39.83,1.34,15.02,20.0,8.82,79.0,110.0,5.0,1.5
lime,1 fruit,65.0,33.0,10.54,0.6,0.2,6.0,0.7,2.0,2.0,29.1,0.0
liqueur,Quantity not specified,45.0,0.0,33.2,0.04,0.11,0.0,0.0,1.0,0.0,0.0,0.0
coffee flavor liqueur,1 shot,45.0,1.0,46.8,0.06,0.3,3.0,0.1,8.0,0.0,0.0,0.0
cream liqueur,1 drink,68.0,5.0,33.48,0.04,2.74,0.0,0.15,2.0,24.0,0.0,0.1
beef liver,"1 slice, any size",85.0,6.0,5.12,6.12,4.64,22.0,26.31,384.0,7683.0,0.7,1.2
beef calve liver onion,"1 cubic inch, cooked",22.0,12.0,6.97,3.85,3.6,18.0,16.68,276.0,4727.0,2.4,0.8
chicken liver,1 liver,22.0,11.0,6.48,10.12,8.69,20.0,20.02,453.0,2808.0,16.3,0.0
liver paste pate,Quantity not specified,85.0,10.0,6.55,9.19,13.1,13.0,13.45,386.0,217.0,10.0,0.0
chicken chop egg liver onion,Quantity not specified,156.0,20.0,2.87,5.26,17.69,15.0,12.89,1047.0,1741.0,13.9,1.0
liverwurst,"1 slice, NFS",28.0,9.0,3.1,11.2,28.5,11.0,14.5,977.0,4220.0,0.0,1.2
lo mein,Quantity not specified,200.0,21.0,20.16,1.07,2.35,14.0,4.77,430.0,9.0,1.7,0.1
lo meatless mein,Quantity not specified,200.0,21.0,20.16,1.07,2.35,14.0,4.77,430.0,9.0,1.7,0.1
beef lo mein,1 cup,200.0,20.0,16.18,1.43,2.77,14.0,9.73,358.0,8.0,1.4,0.1
chicken lo mein,Quantity not specified,200.0,20.0,16.15,1.0,3.15,16.0,9.15,413.0,9.0,1.4,0.1
lo mein pork,Quantity not specified,200.0,20.0,16.18,1.07,3.79,17.0,9.48,357.0,8.0,1.5,0.2
lo mein shrimp,Quantity not specified,200.0,36.0,16.24,0.91,2.21,19.0,8.56,363.0,26.0,1.3,0.1
lobster,1 lobster,200.0,106.0,0.0,0.33,0.95,48.0,20.91,535.0,1.0,0.0,0.0
gumbo lobster,Quantity not specified,122.0,55.0,4.63,0.67,1.78,22.0,6.19,288.0,19.0,3.7,0.0
lobster salad,Quantity not specified,91.0,62.0,1.22,0.2,15.4,25.0,10.29,508.0,8.0,2.8,0.0
bake bread lobster stuff,1 lobster,400.0,110.0,9.83,0.86,8.26,35.0,14.98,641.0,65.0,0.2,0.0
lobster puerto rican sauce style,Quantity not specified,121.0,63.0,3.94,0.65,10.55,32.0,10.75,719.0,12.0,8.9,0.0
lomi salmon,1 cup,234.0,88.0,3.31,0.51,1.86,18.0,7.55,145.0,30.0,8.9,4.8
ice island long tea,Quantity not specified,225.0,1.0,8.66,0.04,0.15,0.0,0.01,16.0,0.0,0.4,0.0
bean cook long make mung noodle rice,"1 cup, cooked",190.0,7.0,20.66,0.44,0.01,1.0,0.04,5.0,0.0,0.0,0.0
cook lotus root,1 cup,125.0,26.0,15.51,0.87,2.61,21.0,1.54,165.0,11.0,26.5,0.0
luncheon meat,"1 slice, NFS",28.0,5.0,0.27,0.58,3.73,19.0,16.7,890.0,0.0,0.0,0.6
loaf luncheon meat type,Guideline amount on large sandwich,84.0,109.0,8.46,1.33,15.95,34.0,11.23,1040.0,78.0,7.8,0.8
chicken luncheon meatlessbeef salami slice turkey,Quantity not specified,56.0,41.0,4.44,1.8,11.11,23.0,17.78,711.0,0.0,0.0,0.0
lychee,Quantity not specified,95.0,5.0,16.53,0.31,0.44,10.0,0.83,1.0,0.0,71.5,0.0
macadamia nut,Quantity not specified,28.0,70.0,12.83,2.65,76.08,118.0,7.79,353.0,0.0,0.7,0.0
cheese macaroni noodle,Quantity not specified,230.0,170.0,23.08,1.06,10.5,20.0,8.68,358.0,106.0,0.0,0.5
cheese chicken macaroni noodle turkey,Quantity not specified,230.0,44.0,14.82,0.69,7.61,18.0,12.53,229.0,54.0,0.1,0.2
cheese egg macaroni noodle,1 cup,230.0,57.0,19.0,0.81,9.52,14.0,5.91,176.0,94.0,0.1,0.6
cheese dog frankfurter hot macaroni noodle,1 cup,230.0,50.0,18.71,0.76,12.25,14.0,6.17,299.0,63.0,0.1,0.4
cheese macaroni meat noodle,1 cup,230.0,47.0,15.14,1.27,11.16,17.0,11.79,238.0,53.0,0.1,0.2
cheese hamburger helper macaroni meat mix noodle prepare,1 cup,230.0,53.0,10.27,0.97,7.59,12.0,8.24,284.0,24.0,0.2,0.4
cheese macaroni noodle tomato,1 cup,230.0,49.0,18.72,0.58,6.53,14.0,3.94,131.0,70.0,2.9,0.2
cheese macaroni noodle tuna,Quantity not specified,230.0,51.0,18.23,0.86,6.79,17.0,7.59,176.0,66.0,0.1,0.4
cheese easy mac macaroni noodle type,"1 large microwavable tub, prepared",423.0,95.0,20.1,0.67,1.86,15.0,3.26,259.0,27.0,0.0,0.0
can cheese macaroni noodle,1 cup,230.0,35.0,11.52,0.9,2.46,9.0,3.38,302.0,17.0,0.0,0.0
cheese macaroni noodle restaurant,1 cup,230.0,99.0,18.8,0.68,6.06,19.0,5.42,361.0,31.0,0.0,0.1
cheese macaroni make mix noodle package,1 cup,230.0,58.0,22.16,0.64,8.04,15.0,4.64,161.0,77.0,0.2,0.2
cheese fat macaroni make mix noodle package reduce,1 cup,230.0,76.0,17.28,0.44,4.82,11.0,4.57,172.0,49.0,0.0,0.2
cheese grain macaroni noodle whole,Quantity not specified,230.0,173.0,22.7,1.28,10.88,38.0,8.77,360.0,106.0,0.0,0.5
cheese cream macaroni noodle,Quantity not specified,230.0,26.0,22.03,0.9,5.49,14.0,4.72,260.0,44.0,0.1,0.2
cheese cream macaroni noodle tuna,Quantity not specified,230.0,25.0,17.35,1.07,4.52,16.0,7.85,252.0,38.0,0.0,0.4
cheese macaroni pasta salad,1 cup,204.0,98.0,21.78,0.9,14.43,16.0,6.89,262.0,45.0,1.6,0.1
chicken macaroni pasta salad,1 cup,204.0,9.0,20.94,0.97,10.75,16.0,7.82,225.0,6.0,1.5,0.0
crab macaroni meat pasta salad,1 cup,204.0,21.0,20.94,0.94,9.9,18.0,6.48,233.0,5.0,2.0,0.0
egg macaroni pasta salad,1 cup,204.0,12.0,22.54,1.03,11.44,14.0,5.18,197.0,18.0,1.6,0.2
macaroni meat pasta salad,Quantity not specified,136.0,8.0,20.82,1.0,10.59,15.0,7.65,378.0,5.0,1.5,0.2
macaroni pasta salad shrimp,Quantity not specified,136.0,29.0,20.94,1.18,9.99,17.0,6.86,304.0,5.0,2.1,0.0
macaroni pasta salad tuna,1 cup,204.0,10.0,20.88,1.11,9.9,16.0,6.69,206.0,7.0,1.5,0.2
egg macaroni pasta salad tuna,Quantity not specified,136.0,13.0,19.36,1.12,9.96,15.0,7.14,200.0,18.0,1.4,0.4
dress italian macaroni make pasta salad,Quantity not specified,136.0,16.0,20.9,1.18,3.72,14.0,3.7,226.0,62.0,5.9,0.0
dress fat free macaroni make pasta salad type,Quantity not specified,136.0,8.0,26.54,0.98,1.14,14.0,4.25,239.0,3.0,1.7,0.0
creamy dress macaroni make pasta salad,Quantity not specified,136.0,17.0,20.11,1.18,6.62,14.0,3.8,206.0,64.0,5.8,0.0
dress italian light macaroni make pasta salad,1 cup,204.0,16.0,20.61,1.17,2.0,14.0,3.68,216.0,62.0,5.8,0.0
creamy dress light macaroni make pasta salad,Quantity not specified,136.0,15.0,20.22,1.16,2.92,14.0,3.82,210.0,63.0,5.8,0.0
light macaroni make mayonnaise pasta salad,Quantity not specified,136.0,8.0,25.68,0.99,4.16,14.0,4.32,239.0,4.0,1.8,0.0
dress light macaroni make mayonnaisetype pasta salad salad,Quantity not specified,136.0,8.0,25.68,0.99,4.16,14.0,4.32,239.0,4.0,1.8,0.0
macaroni make mayonnaise pasta salad,Quantity not specified,136.0,8.0,24.65,1.01,11.52,14.0,4.46,204.0,5.0,1.8,0.0
dress macaroni make mayonnaisetype pasta salad salad,Quantity not specified,136.0,8.0,26.58,0.99,4.01,14.0,4.38,211.0,4.0,1.8,0.0
macaroni puerto rican style tuna,Quantity not specified,225.0,54.0,18.13,1.11,4.74,18.0,7.71,359.0,58.0,0.2,0.8
mai tai,Quantity not specified,180.0,7.0,16.48,0.18,0.07,7.0,0.18,4.0,0.0,5.1,0.0
mango nectar,1 fl oz (with ice),23.0,17.0,13.12,0.36,0.06,3.0,0.11,5.0,35.0,15.2,0.0
can mango,1 slice/chunk,25.0,8.0,16.22,0.12,0.3,8.0,0.62,1.0,34.0,21.8,0.0
dry mango,1 cup,160.0,0.0,78.58,0.23,1.18,20.0,2.45,162.0,67.0,42.3,0.0
freeze mango,1 slice/chunk,25.0,11.0,14.98,0.16,0.38,10.0,0.82,1.0,54.0,36.4,0.0
mango,1 slice/chunk,25.0,11.0,14.98,0.16,0.38,10.0,0.82,1.0,54.0,36.4,0.0
manhattan,1 drink,120.0,1.0,1.82,0.07,0.0,1.0,0.03,2.0,0.0,0.0,0.0
cheesefilled manicotti sauce,Quantity not specified,209.0,203.0,20.4,1.48,9.3,19.0,10.4,443.0,104.0,0.0,0.5
cheesefilled manicotti meat sauce,1 manicotti,143.0,139.0,15.11,1.41,7.28,18.0,8.83,432.0,73.0,1.8,0.3
cheesefilled manicotti meatless sauce tomato,1 cup,235.0,147.0,16.2,1.33,6.59,18.0,7.63,436.0,78.0,1.9,0.4
cheesefilled manicotti meatless sauce tomato vegetable,Quantity not specified,235.0,110.0,15.89,1.42,5.18,25.0,6.43,394.0,92.0,4.0,0.3
margarine,Quantity not specified,14.0,16.0,0.82,0.02,65.04,2.0,0.17,694.0,819.0,0.1,3.7
light margarine,Quantity not specified,14.0,6.0,1.22,0.03,37.91,1.0,0.33,586.0,1330.0,0.0,3.7
margarine stick,Guideline amount on regular sandwich,14.0,3.0,0.7,0.06,80.71,3.0,0.16,751.0,819.0,0.2,3.7
margarine tub,1 cup,224.0,21.0,0.86,0.0,59.81,2.0,0.17,674.0,819.0,0.1,3.7
margarita,1 fl oz,30.0,2.0,16.06,0.09,0.08,1.0,0.08,204.0,0.0,2.0,0.0
margarita mix nonalcoholic,Quantity not specified,225.0,2.0,21.4,0.11,0.1,1.0,0.1,102.0,0.0,2.7,0.0
biscuit marie,1 cookie,7.0,0.0,70.54,0.0,10.58,28.0,7.05,370.0,1.0,0.0,0.0
marmalade,1 tablespoon,20.0,38.0,66.3,0.15,0.0,2.0,0.3,56.0,3.0,4.8,0.0
martini,1 drink,120.0,1.0,0.15,0.09,0.0,1.0,0.07,2.0,0.0,0.0,0.0
flavor martini,Quantity not specified,120.0,3.0,6.36,0.05,0.03,2.0,0.09,1.0,0.0,8.0,0.0
cook harina masa,Quantity not specified,240.0,44.0,20.5,1.33,0.99,27.0,2.26,283.0,0.0,0.0,0.0
fat free mayonnaise,Quantity not specified,11.0,6.0,15.8,0.1,0.0,2.0,0.2,750.0,2.0,0.0,0.0
light mayonnaise,Guideline amount in salad,32.0,6.0,9.23,0.14,22.22,2.0,0.37,827.0,8.0,0.0,0.0
fat mayonnaise oil olive reduce,1 tablespoon,13.8,0.0,0.0,0.0,40.0,2.0,0.37,800.0,8.0,0.0,0.0
mayonnaise regular,Guideline amount on large sandwich,28.0,8.0,0.57,0.21,74.85,1.0,0.96,635.0,16.0,0.0,0.2
dress mayonnaisetype salad,Guideline amount in salad,30.0,5.0,14.78,0.12,21.6,2.0,0.65,653.0,5.0,0.0,0.0
dress light mayonnaisetype salad,Guideline amount on regular sandwich,14.0,5.0,16.4,0.12,10.0,2.0,0.65,833.0,2.0,0.0,0.0
mcdonalds mcdouble,1 double cheeseburger,140.0,150.0,17.97,2.35,16.18,21.0,16.24,617.0,44.0,2.9,0.2
dinner freeze loaf meal meat,Quantity not specified,312.0,46.0,10.13,1.05,7.4,16.0,6.66,392.0,32.0,3.5,0.0
beef loaf make meat,1 medium patty,101.0,64.0,7.2,2.05,10.72,19.0,17.48,416.0,14.0,0.6,0.2
beef loaf make meat pork,1 small patty,81.0,63.0,7.18,1.86,10.5,19.0,17.27,412.0,22.0,0.7,0.5
beef loaf make meat pork sauce tomatobased,1 cocktail meatball,9.0,52.0,6.75,1.66,8.18,18.0,13.63,426.0,22.0,2.1,0.4
beef loaf make meat pork veal,1 small or thin slice,86.0,63.0,7.18,1.86,10.5,19.0,17.27,412.0,22.0,0.7,0.5
beef loaf make meat sauce tomatobased,1 medium meatball,36.0,53.0,6.77,1.8,8.35,18.0,13.78,429.0,16.0,2.0,0.1
chicken loaf make meat turkey,1 cubic inch,19.0,70.0,8.08,1.51,7.27,25.0,18.77,446.0,32.0,3.5,0.3
chicken loaf make meat sauce tomatobased turkey,1 medium meatball,36.0,57.0,7.29,1.42,6.2,24.0,15.46,449.0,38.0,4.3,0.4
ham loaf make meat,1 cup,140.0,27.0,6.16,1.26,7.52,22.0,20.65,879.0,26.0,3.6,0.9
loaf make meat venisondeer,Quantity not specified,84.0,51.0,6.31,2.7,6.73,22.0,19.02,378.0,18.0,0.5,0.3
freeze loaf meal meat potato vegetable,1 Stouffer's dinner (17 oz),482.0,46.0,10.13,1.05,7.4,16.0,6.66,392.0,32.0,3.5,0.0
loaf meat meat n type,1 cubic inch,19.0,65.0,7.2,2.05,11.04,19.0,17.49,416.0,22.0,0.6,0.3
loaf meat puerto rican style,"1 serving (3"" x 1"" x 2"")",95.0,30.0,10.7,2.28,22.0,18.0,19.85,629.0,38.0,1.0,0.7
meat meat pot spread,1 can (5.5 oz),156.0,12.0,11.94,0.79,17.34,8.0,7.66,1013.0,26.0,0.0,0.6
cereal fry meat proteinbased substitute vegetable,"1 cup, cubes",146.0,63.0,61.25,4.24,7.23,151.0,12.8,282.0,0.0,0.0,0.0
gravy meat meat n type,Quantity not specified,183.0,8.0,1.58,1.79,7.05,15.0,21.56,360.0,0.0,0.0,0.1
meat sauce tomatobased,Quantity not specified,187.0,9.0,1.58,2.05,6.36,18.0,21.72,355.0,6.0,2.0,0.1
meat,Quantity not specified,60.0,15.0,0.0,1.91,11.29,22.0,27.13,363.0,3.0,0.0,0.3
grind meat,1 patty,85.0,24.0,0.0,2.4,17.04,20.0,25.62,382.0,3.0,0.0,0.0
meatball sandwich sub,"1 regular or 6"" submarine",270.0,178.0,21.31,2.01,8.23,21.0,11.3,511.0,43.0,1.1,0.5
meatball meatless,Quantity not specified,57.0,25.0,8.0,2.16,9.0,18.0,21.0,550.0,0.0,0.0,0.0
meat meatball n sauce type,1 meatball with sauce,43.0,22.0,0.15,1.79,12.02,15.0,18.02,801.0,19.0,0.0,0.2
meatball puerto rican style,1 meatball with sauce,50.0,26.0,6.9,1.85,15.31,20.0,14.33,922.0,17.0,2.5,0.3
diet freeze gravy meal meatball noodle swedish,1 meal (9.1 oz),258.0,24.0,10.31,1.13,3.35,12.0,9.88,255.0,4.0,0.4,0.0
bread gravy meat meatball n type,1 cup,235.0,42.0,6.28,1.53,7.51,13.0,12.22,499.0,9.0,0.4,0.1
meatloaf sandwich,Quantity not specified,135.0,124.0,28.73,2.42,6.15,22.0,11.75,494.0,9.0,0.8,0.1
melba toast,"1 cup, NFS",30.0,93.0,76.6,3.7,3.2,59.0,12.1,598.0,0.0,0.0,0.0
freeze melon,1 cup,150.0,7.0,8.27,0.26,0.16,11.0,0.66,16.0,88.0,12.3,0.0
meringue,1 meringue,22.0,5.0,75.34,0.1,0.04,7.0,7.17,113.0,0.0,0.0,0.0
mexican pizza,1 cup,120.0,69.0,15.3,1.61,13.94,35.0,15.47,375.0,12.0,0.0,0.0
michelada,Quantity not specified,225.0,8.0,4.05,0.22,0.15,8.0,0.66,137.0,12.0,24.6,0.0
bar cereal milk n,1 General Mills bar,40.0,410.0,72.05,5.99,10.98,21.0,6.47,319.0,188.0,15.4,1.7
malt milk shake,1 milkshake (10 fl oz),280.0,131.0,13.64,0.06,6.11,16.0,3.76,66.0,63.0,0.3,0.8
bottle chocolate milk shake,1 cup,248.0,115.0,20.36,0.73,6.66,23.0,3.7,80.0,89.0,0.0,0.0
bottle chocolate flavor milk shake,1 cup,248.0,115.0,19.59,0.46,6.52,13.0,3.37,81.0,91.0,0.0,0.0
chocolate fast food milk shake,1 large,690.0,115.0,20.36,0.73,6.66,23.0,3.7,80.0,89.0,0.0,0.0
chocolate fast flavor food milk shake,Quantity not specified,405.0,115.0,19.59,0.46,6.52,13.0,3.37,81.0,91.0,0.0,0.0
chocolate home milk recipe shake,1 fl oz,28.0,118.0,13.53,0.35,6.14,18.0,3.47,52.0,64.0,0.3,0.8
chocolate home light milk recipe shake,Quantity not specified,280.0,138.0,12.93,0.26,3.31,15.0,3.99,51.0,63.0,0.5,0.7
chocolate flavor home milk recipe shake,1 cup,224.0,125.0,11.39,0.03,5.98,13.0,3.35,53.0,63.0,0.2,0.8
chocolate flavor home light milk recipe shake,Quantity not specified,280.0,138.0,13.83,0.07,2.33,13.0,3.88,51.0,83.0,0.4,0.7
milk,Guideline amount per cup of hot cereal,61.0,125.0,4.83,0.0,2.14,12.0,3.33,39.0,58.0,0.1,1.1
condense milk sweeten,1 cup,304.0,284.0,54.4,0.19,8.7,26.0,7.91,127.0,74.0,2.6,0.2
dry milk reconstitute,1 cup,128.0,1257.0,51.98,0.32,0.77,110.0,36.16,535.0,653.0,6.8,11.0
dry milk nonfat reconstitute,Guideline amount per cup of hot cereal,61.0,114.0,4.6,0.03,0.07,11.0,3.2,51.0,58.0,0.6,1.0
dry milk reconstitute whole,Guideline amount per cup of hot cereal,61.0,142.0,5.86,0.07,4.08,14.0,4.01,60.0,39.0,1.3,1.6
content evaporate fat milk n,1 fl oz,31.5,261.0,10.04,0.19,7.56,24.0,6.81,106.0,65.0,1.9,2.0
evaporate fat free milk skim,1 fl oz,31.5,290.0,11.35,0.29,0.2,27.0,7.55,115.0,118.0,1.2,2.0
evaporate fat milk reduce,1 fl oz,31.5,285.0,11.15,0.28,1.96,27.0,7.42,113.0,131.0,1.2,2.0
evaporate milk whole,1 fl oz,31.5,261.0,10.04,0.19,7.56,24.0,6.81,106.0,65.0,1.9,2.0
fat free milk skim,1 individual school container,244.0,132.0,4.92,0.0,0.08,12.0,3.43,41.0,64.0,0.0,1.1
fat free free lactose milk skim,Guideline amount per fl oz of beverage,2.5,132.0,4.92,0.0,0.08,12.0,3.43,41.0,64.0,0.0,1.1
fat free lactose low milk,Guideline amount per cup of hot cereal,61.0,126.0,5.18,0.0,0.95,12.0,3.38,39.0,58.0,0.0,1.1
fat free lactose milk reduce,1 cup,244.0,126.0,4.9,0.0,1.9,12.0,3.36,39.0,83.0,0.2,1.1
free lactose milk whole,Quantity not specified,244.0,123.0,4.63,0.0,3.2,12.0,3.27,38.0,32.0,0.0,1.1
fat low milk,1 individual school container,244.0,126.0,5.18,0.0,0.95,12.0,3.38,39.0,58.0,0.0,1.1
malt milk,Quantity not specified,256.0,159.0,8.64,0.71,2.05,21.0,3.19,60.0,114.0,2.4,1.4
dry malt milk mix reconstitute,Quantity not specified,11.0,909.0,92.96,16.36,0.0,218.0,0.0,530.0,1365.0,54.5,9.1
fat milk reduce,1 individual school container,244.0,126.0,4.9,0.0,1.9,12.0,3.36,39.0,83.0,0.2,1.1
milk whole,Guideline amount per fl oz of beverage,2.5,123.0,4.63,0.0,3.2,12.0,3.27,38.0,32.0,0.0,1.1
millet,"1 cup, cooked",170.0,3.0,23.57,0.63,1.0,44.0,3.5,168.0,0.0,0.0,0.0
mimosa,1 fl oz,30.0,33.0,6.49,0.16,0.18,10.0,0.43,4.0,1.0,14.7,0.2
julep mint,1 fl oz,30.0,0.0,5.75,0.03,0.01,0.0,0.0,4.0,0.0,0.0,0.0
miso,Quantity not specified,12.0,57.0,25.37,2.49,6.01,48.0,12.79,3728.0,4.0,0.0,0.0
miso sauce,1 tablespoon,16.0,20.0,13.99,0.67,41.0,2.0,3.43,1086.0,2.0,0.0,0.0
mix nut,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0
honey mix nut roast,Quantity not specified,28.0,73.0,33.11,2.16,46.72,153.0,15.35,388.0,0.0,0.3,0.0
mix nut unroasted,1 package,50.0,137.0,22.88,4.24,54.56,236.0,16.97,7.0,1.0,0.9,0.0
lightly mix nut peanut salt,Quantity not specified,28.0,93.0,20.99,2.77,54.04,197.0,19.67,160.0,1.0,0.4,0.0
mix nut peanut salt,Quantity not specified,28.0,93.0,20.9,2.76,53.82,196.0,19.59,313.0,1.0,0.4,0.0
mix nut peanut unsalted,Quantity not specified,28.0,93.0,21.07,2.78,54.25,198.0,19.75,6.0,1.0,0.4,0.0
mix nut peanut salt without,1 package,50.0,133.0,22.0,4.08,55.5,227.0,16.32,320.0,1.0,0.9,0.0
mix nut peanut unsalted without,1 cup,142.0,133.0,22.18,4.11,55.95,229.0,16.45,6.0,1.0,0.9,0.0
green mix salad,Guideline amount in salad,70.0,39.0,3.43,0.46,0.21,27.0,1.31,41.0,298.0,11.7,0.0
mix seed,Quantity not specified,28.0,66.0,21.73,4.87,49.61,234.0,21.96,7.0,0.0,1.5,0.0
juice mix vegetable,Quantity not specified,123.0,35.0,6.3,0.23,0.16,12.0,0.72,82.0,489.0,5.8,0.0
chicken leg mock,Quantity not specified,85.0,17.0,8.04,1.11,13.59,24.0,21.54,313.0,2.0,0.0,0.5
mojito,1 drink,225.0,7.0,2.45,0.11,0.03,2.0,0.09,15.0,7.0,2.4,0.0
molasses,1 tablespoon,20.0,205.0,74.73,4.72,0.1,242.0,0.0,37.0,0.0,0.0,0.0
mole sauce,1 tablespoon,16.0,10.0,10.77,0.92,3.82,17.0,0.98,493.0,32.0,0.3,0.0
gai goo moo pan,Quantity not specified,162.0,11.0,4.87,0.42,2.44,12.0,7.11,106.0,10.0,6.4,0.0
chinese moo pancake pork shu without,Quantity not specified,113.0,43.0,4.01,1.12,10.7,25.0,10.41,815.0,75.0,10.0,0.5
moose,1 cup,135.0,6.0,0.0,4.19,0.96,24.0,29.04,376.0,0.0,5.0,0.0
mortadella,Quantity not specified,30.0,18.0,3.05,1.4,25.39,11.0,16.37,1246.0,0.0,0.0,1.0
moscow mule,Quantity not specified,225.0,2.0,8.6,0.14,0.01,1.0,0.0,5.0,0.0,0.0,0.0
mousse,1 cup,170.0,102.0,16.23,0.52,15.12,21.0,4.2,34.0,138.0,0.2,1.5
basil cheese dress mozzarella oil tomato vinegar,1 cup,160.0,203.0,3.86,0.31,10.87,16.0,7.17,209.0,89.0,8.6,0.1
bake bread fry mozzarella stick,1 cubic inch,14.7,334.0,25.14,0.62,18.33,21.0,14.75,861.0,99.0,0.0,0.2
english muffin,1 sandwich size muffin,92.0,163.0,44.17,4.0,1.69,24.0,8.87,425.0,0.0,1.8,0.0
cheese english muffin,Quantity not specified,58.0,190.0,42.08,3.81,3.31,24.0,9.59,436.0,16.0,1.7,0.0
english muffin multigrain,1 muffin,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0
bran english muffin oat,Quantity not specified,58.0,66.0,48.5,2.7,4.4,37.0,8.4,447.0,5.0,0.0,0.0
bran english muffin oat raisin,1 muffin,58.0,66.0,51.58,2.61,3.98,37.0,7.89,405.0,4.0,0.2,0.0
english muffin pumpernickel,Quantity not specified,58.0,68.0,47.5,2.87,3.1,54.0,8.7,596.0,0.0,0.0,0.0
english muffin rye,1 muffin,58.0,73.0,48.3,2.83,3.3,40.0,8.5,570.0,0.0,0.4,0.0
bran english muffin wheat,Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0
bran english muffin raisin wheat,1 muffin,58.0,166.0,48.25,2.76,1.82,37.0,8.16,320.0,0.0,0.2,0.0
crack english muffin wheat wheat,1 muffin,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0
crack english muffin raisin wheat wheat,1 muffin,58.0,167.0,47.94,2.77,1.84,37.0,8.21,323.0,0.0,0.2,0.0
english grain muffin white whole,Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0
english muffin wheat whole,Quantity not specified,58.0,178.0,44.8,2.87,2.0,37.0,8.7,353.0,0.0,0.0,0.0
